Symbol,Strategy,Trades,WinRate%,TotalReturn%,AvgWin%,AvgLoss%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Calmar,CompositeScore
ADAUSDT,TripleEMA-MTF,172,26.74,-33.99,1.94,-0.98,0.72,-1.54,46.69,-0.20,-0.73,12.35
ADAUSDT,Supertrend-MTF,166,27.71,-16.99,2.60,-1.14,0.88,-0.45,47.28,-0.10,-0.36,18.12
ADAUSDT,Donchian-MTF,310,31.29,-71.22,1.98,-1.24,0.73,-1.77,79.04,-0.23,-0.90,12.31
ADAUSDT,HullMA-Cross,687,25.47,-262.03,1.38,-0.98,0.48,-6.51,262.33,-0.38,-1.00,8.46
ADAUSDT,Vortex-Cross,890,21.01,-265.97,1.34,-0.74,0.49,-7.24,276.04,-0.30,-0.96,7.60
ADAUSDT,PSAR-Trail,784,26.02,-245.97,1.76,-1.04,0.59,-4.11,286.64,-0.31,-0.86,9.36
APTUSDT,TripleEMA-MTF,182,20.33,-89.18,1.80,-1.07,0.43,-4.20,90.80,-0.49,-0.98,7.06
APTUSDT,Supertrend-MTF,196,27.55,-44.47,2.02,-1.08,0.71,-1.58,58.89,-0.23,-0.76,12.24
APTUSDT,Donchian-MTF,296,31.76,-17.95,2.50,-1.25,0.93,-0.41,49.83,-0.06,-0.36,19.50
APTUSDT,HullMA-Cross,695,28.92,-215.68,1.43,-1.02,0.57,-5.04,221.62,-0.31,-0.97,9.78
APTUSDT,Vortex-Cross,897,22.52,-276.45,1.20,-0.75,0.47,-7.79,278.80,-0.31,-0.99,7.78
APTUSDT,PSAR-Trail,820,27.32,-221.11,1.77,-1.04,0.64,-4.15,228.34,-0.27,-0.97,9.96
BCHUSDT,TripleEMA-MTF,209,21.05,-52.45,1.49,-0.72,0.56,-2.96,54.68,-0.25,-0.96,8.10
BCHUSDT,Supertrend-MTF,209,22.49,-93.38,1.26,-0.94,0.39,-4.90,93.38,-0.45,-1.00,7.22
BCHUSDT,Donchian-MTF,288,22.57,-136.27,1.88,-1.16,0.47,-4.70,149.74,-0.47,-0.91,7.83
BCHUSDT,HullMA-Cross,701,25.53,-173.25,1.29,-0.78,0.57,-5.17,182.70,-0.25,-0.95,9.11
BCHUSDT,Vortex-Cross,943,17.18,-290.15,1.16,-0.61,0.39,-9.31,299.34,-0.31,-0.97,6.18
BCHUSDT,PSAR-Trail,764,23.30,-298.50,1.21,-0.88,0.42,-8.64,312.39,-0.39,-0.96,7.60
BNBUSDT,TripleEMA-MTF,208,20.19,-46.05,1.57,-0.67,0.59,-2.53,53.08,-0.22,-0.87,8.16
BNBUSDT,Supertrend-MTF,179,24.58,-56.35,1.08,-0.77,0.46,-3.85,58.69,-0.31,-0.96,8.11
BNBUSDT,Donchian-MTF,278,22.66,-74.29,1.63,-0.82,0.58,-3.38,74.29,-0.27,-1.00,8.60
BNBUSDT,HullMA-Cross,726,23.14,-205.47,0.94,-0.65,0.43,-7.29,205.47,-0.28,-1.00,7.67
BNBUSDT,Vortex-Cross,815,17.67,-198.11,0.99,-0.51,0.42,-7.76,198.11,-0.24,-1.00,6.47
BNBUSDT,PSAR-Trail,723,24.20,-197.41,1.07,-0.70,0.49,-7.10,202.71,-0.27,-0.97,8.25
BTCUSDT,TripleEMA-MTF,177,22.60,-39.63,1.08,-0.60,0.52,-3.00,43.08,-0.22,-0.92,8.16
BTCUSDT,Supertrend-MTF,168,22.62,-39.12,1.19,-0.65,0.54,-2.73,39.93,-0.23,-0.98,8.27
BTCUSDT,Donchian-MTF,278,24.10,-95.81,1.00,-0.77,0.41,-5.70,95.81,-0.34,-1.00,7.70
BTCUSDT,HullMA-Cross,691,17.80,-208.90,0.73,-0.53,0.30,-12.76,208.92,-0.30,-1.00,5.67
BTCUSDT,Vortex-Cross,994,13.08,-277.13,0.72,-0.43,0.25,-16.26,278.25,-0.28,-1.00,4.39
BTCUSDT,PSAR-Trail,704,22.87,-202.17,0.82,-0.61,0.39,-9.28,212.69,-0.29,-0.95,7.33
CFXUSDT,TripleEMA-MTF,242,20.66,-95.05,2.07,-1.03,0.52,-2.30,96.50,-0.39,-0.99,7.78
CFXUSDT,Supertrend-MTF,193,23.32,-61.12,3.08,-1.35,0.69,-1.36,63.71,-0.32,-0.96,12.20
CFXUSDT,Donchian-MTF,283,27.56,-64.36,3.42,-1.61,0.81,-1.06,87.08,-0.23,-0.74,15.07
CFXUSDT,HullMA-Cross,617,28.85,-55.92,2.36,-1.08,0.88,-0.76,103.56,-0.09,-0.54,17.10
CFXUSDT,Vortex-Cross,978,22.70,-215.40,1.86,-0.83,0.66,-2.74,215.40,-0.22,-1.00,9.14
CFXUSDT,PSAR-Trail,772,25.91,-254.09,2.17,-1.20,0.63,-3.35,254.96,-0.33,-1.00,9.60
DOGEUSDT,TripleEMA-MTF,208,21.63,-92.84,1.70,-1.04,0.45,-4.19,95.74,-0.45,-0.97,7.49
DOGEUSDT,Supertrend-MTF,214,30.84,-17.63,2.21,-1.11,0.89,-0.54,38.15,-0.08,-0.46,18.50
DOGEUSDT,Donchian-MTF,319,33.54,-35.73,2.35,-1.36,0.88,-0.76,63.64,-0.11,-0.56,18.02
DOGEUSDT,HullMA-Cross,651,30.41,-116.61,1.55,-0.93,0.72,-3.04,116.61,-0.18,-1.00,11.15
DOGEUSDT,Vortex-Cross,982,23.32,-246.58,1.31,-0.73,0.55,-6.20,246.58,-0.25,-1.00,8.50
DOGEUSDT,PSAR-Trail,717,29.01,-187.65,1.74,-1.08,0.66,-4.05,187.65,-0.26,-1.00,10.41
ENAUSDT,TripleEMA-MTF,206,26.21,-101.52,2.28,-1.48,0.55,-3.09,104.68,-0.49,-0.97,9.08
ENAUSDT,Supertrend-MTF,217,29.95,-71.97,2.73,-1.64,0.71,-1.66,110.44,-0.33,-0.65,12.38
ENAUSDT,Donchian-MTF,267,27.72,-101.65,4.04,-2.08,0.75,-1.66,108.73,-0.38,-0.93,12.19
ENAUSDT,HullMA-Cross,697,32.28,-146.87,2.14,-1.33,0.77,-2.44,162.27,-0.21,-0.91,11.82
ENAUSDT,Vortex-Cross,952,26.47,-225.64,1.90,-1.01,0.68,-3.70,239.94,-0.24,-0.94,10.06
ENAUSDT,PSAR-Trail,896,28.91,-296.52,2.33,-1.41,0.67,-4.39,300.93,-0.33,-0.99,10.48
ETHUSDT,TripleEMA-MTF,148,26.35,-22.00,1.87,-0.87,0.77,-1.14,35.51,-0.15,-0.62,14.23
ETHUSDT,Supertrend-MTF,182,27.47,-25.89,1.90,-0.92,0.79,-1.12,35.06,-0.14,-0.74,14.65
ETHUSDT,Donchian-MTF,263,26.62,-34.07,2.24,-0.99,0.82,-1.09,43.12,-0.13,-0.79,14.88
ETHUSDT,HullMA-Cross,767,24.38,-191.32,1.22,-0.72,0.54,-6.36,191.32,-0.25,-1.00,8.68
ETHUSDT,Vortex-Cross,847,18.18,-228.40,1.32,-0.62,0.47,-7.11,228.40,-0.27,-1.00,6.93
ETHUSDT,PSAR-Trail,714,23.53,-223.90,1.53,-0.88,0.53,-6.05,225.21,-0.31,-0.99,8.45
HBARUSDT,TripleEMA-MTF,212,26.42,-67.82,1.44,-0.95,0.54,-3.35,67.82,-0.32,-1.00,9.09
HBARUSDT,Supertrend-MTF,235,34.04,-12.34,2.17,-1.20,0.93,-0.29,32.20,-0.05,-0.38,20.46
HBARUSDT,Donchian-MTF,380,30.79,-78.02,2.14,-1.25,0.76,-1.59,79.83,-0.21,-0.98,13.20
HBARUSDT,HullMA-Cross,652,28.83,-170.55,1.43,-0.95,0.61,-4.19,178.84,-0.26,-0.95,10.05
HBARUSDT,Vortex-Cross,912,24.23,-254.76,1.20,-0.75,0.51,-7.30,257.54,-0.28,-0.99,8.41
HBARUSDT,PSAR-Trail,771,31.39,-184.12,1.67,-1.11,0.69,-3.71,192.64,-0.24,-0.96,11.09
ICPUSDT,TripleEMA-MTF,163,26.99,-50.98,1.69,-1.05,0.59,-2.24,74.36,-0.31,-0.69,9.56
ICPUSDT,Supertrend-MTF,206,22.82,-132.47,1.34,-1.23,0.32,-6.44,132.47,-0.64,-1.00,6.82
ICPUSDT,Donchian-MTF,326,28.22,-103.43,2.46,-1.41,0.69,-2.02,149.00,-0.32,-0.69,10.45
ICPUSDT,HullMA-Cross,751,29.96,-229.11,1.39,-1.03,0.58,-4.81,242.08,-0.31,-0.95,10.03
ICPUSDT,Vortex-Cross,981,22.94,-282.15,1.49,-0.82,0.54,-5.55,317.96,-0.29,-0.89,8.39
ICPUSDT,PSAR-Trail,870,29.31,-207.54,1.84,-1.10,0.69,-3.12,274.19,-0.24,-0.76,10.72
LTCUSDT,TripleEMA-MTF,181,15.47,-75.60,2.08,-0.87,0.43,-3.34,76.93,-0.42,-0.98,6.14
LTCUSDT,Supertrend-MTF,160,25.00,-47.15,1.87,-1.01,0.61,-2.06,59.80,-0.29,-0.79,9.29
LTCUSDT,Donchian-MTF,262,26.72,-79.42,2.34,-1.27,0.67,-2.13,85.59,-0.30,-0.93,10.06
LTCUSDT,HullMA-Cross,735,25.71,-197.56,1.38,-0.84,0.57,-5.15,202.04,-0.27,-0.98,9.12
LTCUSDT,Vortex-Cross,960,19.27,-314.54,1.10,-0.67,0.39,-9.86,326.45,-0.33,-0.96,6.61
LTCUSDT,PSAR-Trail,708,24.44,-250.70,1.51,-0.96,0.51,-6.46,260.86,-0.35,-0.96,8.46
QNTUSDT,TripleEMA-MTF,222,30.18,-53.07,1.34,-0.92,0.63,-2.59,56.65,-0.24,-0.94,10.44
QNTUSDT,Supertrend-MTF,220,30.45,-85.15,1.09,-1.03,0.46,-4.55,85.15,-0.39,-1.00,9.32
QNTUSDT,Donchian-MTF,336,24.40,-147.86,1.68,-1.12,0.48,-4.66,164.75,-0.44,-0.90,8.26
QNTUSDT,HullMA-Cross,587,30.15,-123.13,1.30,-0.86,0.65,-3.51,126.83,-0.21,-0.97,10.59
QNTUSDT,Vortex-Cross,965,23.83,-242.80,1.03,-0.65,0.49,-6.87,243.74,-0.25,-1.00,8.23
QNTUSDT,PSAR-Trail,718,30.92,-229.61,1.22,-1.01,0.54,-6.61,229.70,-0.32,-1.00,9.97
SOLUSDT,TripleEMA-MTF,201,26.87,-49.08,1.57,-0.91,0.63,-2.39,50.89,-0.24,-0.96,9.80
SOLUSDT,Supertrend-MTF,157,31.85,-45.18,1.49,-1.12,0.62,-2.18,49.62,-0.29,-0.91,10.73
SOLUSDT,Donchian-MTF,289,30.45,-66.83,2.06,-1.24,0.73,-1.85,81.33,-0.23,-0.82,11.85
SOLUSDT,HullMA-Cross,656,28.66,-156.47,1.27,-0.85,0.60,-4.76,159.69,-0.24,-0.98,9.97
SOLUSDT,Vortex-Cross,832,22.48,-223.62,1.17,-0.69,0.49,-6.72,223.62,-0.27,-1.00,7.95
SOLUSDT,PSAR-Trail,763,25.16,-255.35,1.60,-0.99,0.55,-6.29,255.35,-0.33,-1.00,8.86
SUIUSDT,TripleEMA-MTF,202,28.71,-15.42,2.59,-1.15,0.91,-0.47,29.32,-0.08,-0.53,18.47
SUIUSDT,Supertrend-MTF,209,30.62,-54.46,2.03,-1.27,0.70,-1.84,58.98,-0.26,-0.92,11.71
SUIUSDT,Donchian-MTF,307,30.94,-35.87,2.84,-1.44,0.88,-0.66,70.84,-0.12,-0.51,17.95
SUIUSDT,HullMA-Cross,640,30.47,-144.17,1.63,-1.04,0.69,-3.19,158.53,-0.23,-0.91,10.91
SUIUSDT,Vortex-Cross,939,22.79,-256.81,1.60,-0.83,0.57,-5.47,280.34,-0.27,-0.92,8.56
SUIUSDT,PSAR-Trail,739,29.91,-204.88,1.87,-1.19,0.67,-3.93,225.44,-0.28,-0.91,10.66
TRBUSDT,TripleEMA-MTF,191,19.90,-122.38,1.58,-1.19,0.33,-5.70,122.38,-0.64,-1.00,6.28
TRBUSDT,Supertrend-MTF,173,24.28,-113.53,1.43,-1.33,0.35,-5.32,113.53,-0.66,-1.00,7.28
TRBUSDT,Donchian-MTF,339,27.14,-82.79,3.48,-1.63,0.79,-1.05,108.74,-0.24,-0.76,14.94
TRBUSDT,HullMA-Cross,822,28.10,-258.19,1.73,-1.11,0.61,-4.72,265.01,-0.31,-0.97,9.87
TRBUSDT,Vortex-Cross,1054,21.54,-355.26,1.39,-0.81,0.47,-7.76,356.97,-0.34,-1.00,7.61
TRBUSDT,PSAR-Trail,816,28.55,-212.34,2.12,-1.21,0.70,-3.08,212.88,-0.26,-1.00,10.61
TRXUSDT,TripleEMA-MTF,198,26.77,-27.60,0.93,-0.53,0.64,-2.07,27.82,-0.14,-0.99,9.85
TRXUSDT,Supertrend-MTF,202,27.72,-29.02,0.99,-0.58,0.66,-2.16,29.21,-0.14,-0.99,10.13
