Symbol,Strategy,Window,BestParams,Trades,WinRate%,TotalReturn%,ProfitFactor,Sharpe,MaxDD%,Score
ADAUSDT,TripleEMA-MTF,W01,"EMA(5/21/89) ATR×1.5",11,54.55,7.91,2.56,1.25,2.62,49.57
ADAUSDT,TripleEMA-MTF,W02,"EMA(9/34/89) ATR×1.5",10,40.00,0.53,1.10,0.11,2.16,25.05
ADAUSDT,TripleEMA-MTF,W03,"EMA(9/34/89) ATR×1.5",16,6.25,-11.54,0.03,-7.10,11.54,1.46
ADAUSDT,TripleEMA-MTF,W04,"EMA(13/34/89) ATR×1.5",8,12.50,-7.45,0.07,-4.26,7.45,2.99
ADAUSDT,TripleEMA-MTF,W05,"EMA(13/34/55) ATR×2.0",10,30.00,6.16,2.40,0.91,3.97,41.10
ADAUSDT,TripleEMA-MTF,W06,"EMA(13/34/89) ATR×3.0",18,33.33,-5.11,0.60,-0.95,5.98,15.27
ADAUSDT,TripleEMA-MTF,W07,"EMA(13/34/89) ATR×3.0",14,21.43,-2.93,0.80,-0.28,7.04,17.08
ADAUSDT,TripleEMA-MTF,W08,"EMA(13/34/55) ATR×3.0",11,18.18,-7.77,0.35,-1.47,11.16,8.26
ADAUSDT,TripleEMA-MTF,W09,"EMA(13/34/55) ATR×3.0",10,10.00,-10.58,0.03,-4.43,10.96,2.24
ADAUSDT,TripleEMA-MTF,W10,"EMA(5/34/55) ATR×2.5",19,31.58,0.20,1.02,0.03,3.94,22.05
ADAUSDT,TripleEMA-MTF,W11,"EMA(13/21/89) ATR×2.5",13,30.77,-3.64,0.44,-1.35,4.44,11.97
ADAUSDT,TripleEMA-MTF,W12,"EMA(13/34/55) ATR×1.5",14,28.57,6.55,1.81,0.78,3.95,34.68
ADAUSDT,TripleEMA-MTF,W13,"EMA(13/34/55) ATR×2.5",18,27.78,-6.32,0.58,-0.95,8.42,13.98
ADAUSDT,Supertrend-MTF,W01,"ST(14,2.5) ATR×2.5",5,40.00,6.77,1.96,0.66,5.48,46.40
ADAUSDT,Supertrend-MTF,W02,"ST(14,2.5) ATR×2.5",11,18.18,-2.79,0.71,-0.40,6.94,15.27
ADAUSDT,Supertrend-MTF,W03,"ST(14,2.5) ATR×1.5",14,14.29,-8.09,0.19,-3.06,8.09,4.19
ADAUSDT,Supertrend-MTF,W04,"ST(14,2.0) ATR×2.5",20,20.00,-14.58,0.27,-2.59,15.09,5.92
ADAUSDT,Supertrend-MTF,W05,"ST(14,2.0) ATR×1.5",12,25.00,-5.20,0.36,-1.64,7.15,9.04
ADAUSDT,Supertrend-MTF,W06,"ST(10,3.0) ATR×2.0",20,10.00,-12.43,0.19,-3.04,12.43,3.32
ADAUSDT,Supertrend-MTF,W07,"ST(14,3.0) ATR×2.5",9,55.56,13.62,4.22,1.51,3.76,70.37
ADAUSDT,Supertrend-MTF,W08,"ST(14,3.0) ATR×2.5",11,36.36,-4.41,0.52,-0.96,6.29,15.22
ADAUSDT,Supertrend-MTF,W09,"ST(14,3.0) ATR×2.5",10,30.00,-6.52,0.25,-2.03,6.93,7.74
ADAUSDT,Supertrend-MTF,W10,"ST(10,2.5) ATR×2.5",14,50.00,3.43,1.53,0.54,3.05,33.74
ADAUSDT,Supertrend-MTF,W11,"ST(14,2.5) ATR×2.5",9,33.33,-2.68,0.55,-0.75,5.53,15.72
ADAUSDT,Supertrend-MTF,W12,"ST(10,2.5) ATR×2.5",10,30.00,25.33,4.05,0.89,3.45,66.38
ADAUSDT,Supertrend-MTF,W13,"ST(10,2.5) ATR×2.5",21,28.57,-9.45,0.60,-0.97,13.51,14.20
ADAUSDT,Donchian-MTF,W01,"Don(55) ATR×2.5",15,26.67,-11.10,0.42,-1.29,11.10,11.26
ADAUSDT,Donchian-MTF,W02,"Don(55) ATR×2.5",29,20.69,-14.62,0.51,-1.48,24.31,9.91
ADAUSDT,Donchian-MTF,W03,"Don(55) ATR×3.0",15,26.67,-3.31,0.75,-0.36,6.48,17.46
