Symbol,Strategy,Trades,WinRate%,TotalReturn%,AvgWin%,AvgLoss%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Calmar,CompositeScore
ADAUSDT,TrendPullback-EMA,7,42.86,2.00,2.09,-1.07,1.47,0.48,2.28,0.29,0.88,32.03
APTUSDT,Chandelier-MTF,6,16.67,-3.13,1.00,-0.83,0.24,-1.63,3.61,-0.52,-0.87,6.59
BCHUSDT,Chandelier-MTF,6,16.67,0.26,2.23,-0.39,1.13,0.11,1.97,0.04,0.13,20.47
BCHUSDT,TrendPullback-EMA,5,20.00,0.98,4.20,-0.81,1.31,0.22,2.07,0.20,0.47,24.34
DOGEUSDT,TrendPullback-EMA,18,16.67,0.61,3.91,-0.74,1.05,0.07,6.97,0.03,0.09,19.69
ENAUSDT,Chandelier-MTF,10,30.00,-3.82,0.48,-0.75,0.27,-1.84,4.54,-0.38,-0.84,8.57
ENAUSDT,TrendPullback-EMA,18,22.22,-3.14,3.20,-1.14,0.80,-0.38,11.28,-0.17,-0.28,16.81
ETHUSDT,TrendPullback-EMA,16,18.75,-3.15,2.52,-0.82,0.71,-0.58,5.60,-0.20,-0.56,14.59
HBARUSDT,TrendPullback-EMA,18,22.22,-4.41,2.64,-1.07,0.71,-0.60,7.79,-0.24,-0.57,15.21
ICPUSDT,TrendPullback-EMA,18,16.67,-8.12,2.28,-1.00,0.46,-1.45,12.67,-0.45,-0.64,8.84
SOLUSDT,TrendPullback-EMA,7,28.57,1.63,3.00,-0.87,1.37,0.33,3.09,0.23,0.53,27.33
SUIUSDT,TrendPullback-EMA,11,18.18,1.00,4.53,-0.90,1.12,0.14,5.30,0.09,0.19,21.33
