Symbol,Strategy,Window,BestParams,Trades,WinRate%,TotalReturn%,ProfitFactor,Sharpe,MaxDD%,Expectancy%,Score
ADAUSDT,TrendPullback-EMA,W06,"EMA(13/34) ADX>25 RSI[38.0,63.0] Vol>×1.3 SL×1.5 TP×3.75",3,33.33,-1.53,0.47,-0.66,2.88,-0.51,0.00
ADAUSDT,Chandelier-MTF,W06,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",2,0.00,-1.81,0.00,-4.35,1.81,-0.90,0.00
APTUSDT,Chandelier-MTF,W06,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",3,0.00,-2.60,0.00,-12.46,2.60,-0.87,0.00
APTUSDT,Chandelier-MTF,W08,"CH(14,2.5) ADX>20 SL×2.0 TP×4.0",1,0.00,-0.94,0.00,0.00,0.94,-0.94,0.00
APTUSDT,Chandelier-MTF,W09,"CH(22,3.0) ADX>20 SL×2.0 TP×4.0",3,66.67,2.47,2.54,0.83,1.60,0.82,0.00
BCHUSDT,TrendPullback-EMA,W03,"EMA(9/34) ADX>20 RSI[38.0,63.0] Vol>×1.3 SL×1.5 TP×3.0",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BCHUSDT,Chandelier-MTF,W06,"CH(14,3.0) ADX>20 SL×2.0 TP×5.0",10,40.00,-1.04,0.80,-0.32,2.50,-0.10,20.60
BNBUSDT,Chandelier-MTF,W09,"CH(14,2.5) ADX>25 SL×2.0 TP×5.0",8,50.00,0.92,1.23,0.24,3.05,0.12,29.13
BNBUSDT,Chandelier-MTF,W10,"CH(22,3.0) ADX>25 SL×2.0 TP×5.0",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BTCUSDT,TrendPullback-EMA,W10,"EMA(13/21) ADX>20 RSI[38.0,63.0] Vol>×1.3 SL×1.5 TP×3.75",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
BTCUSDT,Chandelier-MTF,W10,"CH(22,2.5) ADX>20 SL×2.0 TP×5.0",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
DOGEUSDT,TrendPullback-EMA,W05,"EMA(9/34) ADX>25 RSI[38.0,63.0] Vol>×1.3 SL×1.5 TP×3.75",2,50.00,2.20,10.58,1.17,0.23,1.10,0.00
DOGEUSDT,Chandelier-MTF,W05,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",6,33.33,-2.45,0.46,-0.92,3.48,-0.41,14.42
DOGEUSDT,Chandelier-MTF,W09,"CH(22,3.0) ADX>25 SL×2.0 TP×4.0",5,60.00,-0.74,0.29,-0.90,0.90,-0.15,18.63
ENAUSDT,TrendPullback-EMA,W02,"EMA(9/34) ADX>20 RSI[38.0,63.0] Vol>×1.3 SL×1.5 TP×3.75",2,50.00,1.96,2.16,0.52,1.69,0.98,0.00
ENAUSDT,TrendPullback-EMA,W04,"EMA(9/34) ADX>25 RSI[38.0,63.0] Vol>×1.3 SL×1.5 TP×3.0",5,0.00,-4.92,0.00,-3.39,4.92,-0.98,0.00
ENAUSDT,TrendPullback-EMA,W05,"EMA(13/21) ADX>20 RSI[38.0,63.0] Vol>×1.3 SL×1.5 TP×3.75",6,16.67,-1.33,0.84,-0.17,8.15,-0.22,16.82
ETHUSDT,TrendPullback-EMA,W09,"EMA(9/34) ADX>20 RSI[38.0,63.0] Vol>×1.3 SL×1.5 TP×3.75",7,28.57,0.72,1.24,0.24,1.97,0.10,24.74
ICPUSDT,TrendPullback-EMA,W06,"EMA(9/21) ADX>20 RSI[38.0,63.0] Vol>×1.3 SL×1.5 TP×3.75",5,0.00,-5.39,0.00,-4.81,5.39,-1.08,0.00
ICPUSDT,Chandelier-MTF,W05,"CH(22,2.5) ADX>20 SL×2.0 TP×5.0",6,33.33,-5.35,0.05,-2.39,5.35,-0.89,6.99
ICPUSDT,Chandelier-MTF,W10,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
LTCUSDT,Chandelier-MTF,W05,"CH(22,2.5) ADX>25 SL×2.0 TP×4.0",1,0.00,-1.48,0.00,0.00,1.48,-1.48,0.00
SOLUSDT,TrendPullback-EMA,W10,"EMA(13/21) ADX>20 RSI[38.0,63.0] Vol>×1.3 SL×1.5 TP×3.75",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SOLUSDT,Chandelier-MTF,W09,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",7,28.57,-1.77,0.61,-0.54,3.24,-0.25,16.09
SUIUSDT,TrendPullback-EMA,W08,"EMA(13/34) ADX>20 RSI[38.0,63.0] Vol>×1.3 SL×1.5 TP×3.75",2,0.00,-2.47,0.00,-8.92,2.47,-1.24,0.00
SUIUSDT,TrendPullback-EMA,W10,"EMA(9/21) ADX>25 RSI[38.0,63.0] Vol>×1.3 SL×1.5 TP×3.75",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
SUIUSDT,Chandelier-MTF,W05,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",5,80.00,6.29,1034.97,1.89,0.01,1.26,79.78
SUIUSDT,Chandelier-MTF,W06,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",5,40.00,-1.37,0.64,-0.40,3.83,-0.27,19.18
SUIUSDT,Chandelier-MTF,W09,"CH(22,3.0) ADX>20 SL×2.0 TP×5.0",8,25.00,-0.38,0.95,-0.07,4.57,-0.05,19.68
TRBUSDT,Chandelier-MTF,W03,"CH(22,2.5) ADX>20 SL×2.0 TP×4.0",4,75.00,11.81,55.34,1.81,0.22,2.95,0.00
TRBUSDT,Chandelier-MTF,W08,"CH(14,2.5) ADX>20 SL×2.0 TP×4.0",3,33.33,-2.26,0.04,-2.00,2.35,-0.75,0.00
XMRUSDT,TrendPullback-EMA,W03,"EMA(13/21) ADX>20 RSI[40.0,62.0] Vol>×1.3 SL×1.5 TP×3.75",9,22.22,0.32,1.07,0.08,4.03,0.04,21.00
XMRUSDT,TrendPullback-EMA,W04,"EMA(13/21) ADX>25 RSI[38.0,63.0] Vol>×1.3 SL×1.5 TP×3.75",0,0.00,0.00,0.00,0.00,0.00,0.00,0.00
XMRUSDT,Chandelier-MTF,W04,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",3,0.00,-2.49,0.00,-2.57,2.49,-0.83,0.00
XRPUSDT,TrendPullback-EMA,W08,"EMA(13/21) ADX>20 RSI[38.0,63.0] Vol>×1.3 SL×1.5 TP×3.0",4,25.00,-1.32,0.44,-0.76,2.37,-0.33,0.00
XRPUSDT,Chandelier-MTF,W04,"CH(14,2.5) ADX>20 SL×2.0 TP×5.0",9,22.22,-3.17,0.45,-0.97,3.80,-0.35,11.88
XRPUSDT,Chandelier-MTF,W08,"CH(14,2.5) ADX>20 SL×2.0 TP×4.0",6,50.00,-2.12,0.30,-1.29,2.90,-0.35,15.05
